1,10825,20133,15325,20133,15325,20133,15325,11433,15325,11433,10825,11433,10825,11433,10825,20133,
2,15325,20133,24325,20133,24325,20133,24325,11433,24325,11433,15325,11433,15325,11433,15325,20133,
3,10825,23333,15325,23333,15325,23333,15325,32033,15325,32033,10825,32033,10825,32033,10825,23333,
4,15325,23333,24325,23333,24325,23333,24325,32033,24325,32033,15325,32033,15325,32033,15325,23333,
5,28825,20133,37825,20133,37825,20133,37825,11433,37825,11433,28825,11433,28825,11433,28825,20133,
6,37825,20133,42325,20133,42325,20133,42325,11433,42325,11433,37825,11433,37825,11433,37825,20133,
7,28825,23333,37825,23333,37825,23333,37825,32033,37825,32033,28825,32033,28825,32033,28825,23333,
8,37825,23333,42325,23333,42325,23333,42325,32033,42325,32033,37825,32033,37825,32033,37825,23333,
9,42325,23333,46825,23333,46825,23333,46825,32033,46825,32033,42325,32033,42325,32033,42325,23333,
10,10825,23333,24325,23333,24325,32033,28825,32033,28825,23333,46825,23333,46825,11433,42325,11433,42325,20133,28825,20133,28825,11433,24325,11433,24325,20133,10825,20133,10825,23333
