1,room,3,3,10825,23333,15325,23333,15325,23333,15325,32033,15325,32033,10825,32033,10825,32033,10825,23333
2,room,4,4,15325,23333,24325,23333,24325,23333,24325,32033,24325,32033,15325,32033,15325,32033,15325,23333
3,room,6,6,15325,20133,24325,20133,24325,20133,24325,11433,24325,11433,15325,11433,15325,11433,15325,20133
4,room,0,0,28825,23333,37825,23333,37825,23333,37825,32033,37825,32033,28825,32033,28825,32033,28825,23333
5,room,1,1,37825,23333,42325,23333,42325,23333,42325,32033,42325,32033,37825,32033,37825,32033,37825,23333
6,room,7,7,28825,20133,37825,20133,37825,20133,37825,11433,37825,11433,28825,11433,28825,11433,28825,20133
7,room,8,8,37825,20133,42325,20133,42325,20133,42325,11433,42325,11433,37825,11433,37825,11433,37825,20133
8,room,2,2,42325,23333,46825,23333,46825,23333,46825,32033,46825,32033,42325,32033,42325,32033,42325,23333
9,room,5,5,10825,20133,15325,20133,15325,20133,15325,11433,15325,11433,10825,11433,10825,11433,10825,20133
10,room,9,9,24264,32045,28843,32045,28843,23350,46767,23350,46838,11424,42259,11460,42295,20191,28807,20262,28843,11460,24300,11424,24264,20155,10848,20120,10813,23350,24229,23421,24264,32045
