1,25,26,8480.0,15404.0,0,door

2,13,,77999.0,17016.0,0,door

3,4,16,89232.0,17731.0,0,door

4,4,24,92524.0,20723.0,0,door

5,3,,47435.0,23192.0,0,door

6,3,,58612.0,23192.0,0,door

7,11,,60637.0,23192.0,0,door

8,14,15,11450.0,23250.0,0,door

9,10,,38801.0,23250.0,0,door

10,1,,83978.0,23267.0,0,door

11,9,,33224.0,24253.0,0,door

12,25,,5313.0,24350.0,0,door

13,14,25,10130.0,24333.0,0,door

14,9,14,13428.0,24333.0,0,door

15,4,19,86017.0,24341.0,0,door

16,5,14,12414.0,25416.0,0,door

17,6,,37548.0,25422.0,0,door

18,7,,41652.0,25422.0,0,door

19,2,,47445.0,25422.0,0,door

20,2,,57917.0,25422.0,0,door

21,8,,60378.0,25422.0,0,door

22,27,,71123.0,25422.0,0,door

23,27,,71123.0,25422.0,0,door

24,22,,80184.0,25415.0,0,door

25,17,28,74128.0,27536.0,0,door

26,28,,75427.0,27536.0,0,door

27,21,,76818.0,27536.0,0,door

28,18,21,78071.0,27536.0,0,door

29,4,19,22,86017.0,28534.0,0,door

